MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Education,Target
1.4007,20.0,3.9021113243762,1.1247600767754318,1281.0,2.4587332053742803,38.5,-121.44,A,0
2.8489,34.0,4.417773237997957,1.0367722165474975,2609.0,2.664964249233912,32.61,-117.06,C,0
3.4705,32.0,4.869986168741355,1.0345781466113417,1706.0,2.359612724757953,38.11,-122.57,C,1
2.5,21.0,3.897810218978102,1.032846715328467,1180.0,4.306569343065694,33.79,-118.3,A,0
1.947,24.0,5.0,1.1685393258426966,1180.0,4.419475655430712,36.77,-120.41,B,0
1.8894,39.0,5.228571428571429,1.1371428571428572,580.0,3.3142857142857145,36.04,-119.4,B,0
4.675,33.0,6.360153256704981,1.0613026819923372,741.0,2.839080459770115,37.99,-122.12,A,1
6.0226,16.0,6.901554404145077,1.0155440414507773,640.0,3.316062176165803,32.98,-117.04,A,1
4.7361,50.0,5.539393939393939,1.0121212121212122,322.0,1.9515151515151514,33.76,-118.14,B,1
4.5625,36.0,5.3903448275862065,1.0096551724137932,1688.0,2.3282758620689656,34.16,-118.05,B,1
4.9115,31.0,5.231578947368421,0.9596491228070175,1895.0,3.324561403508772,33.84,-117.99,A,1
5.6427,26.0,7.020560747663551,1.033644859813084,1408.0,2.6317757009345795,37.28,-121.9,C,1
4.8125,18.0,5.992405063291139,1.0177215189873419,1021.0,2.5848101265822785,32.81,-116.83,C,1
8.2934,34.0,7.006688963210703,1.1471571906354514,662.0,2.2140468227424748,34.03,-118.56,C,1
3.4943,40.0,5.977777777777778,1.0722222222222222,406.0,2.2555555555555555,36.63,-121.92,A,1
3.9,7.0,6.554716981132075,1.0943396226415094,747.0,2.818867924528302,39.74,-121.87,B,0
7.5674,14.0,6.477611940298507,1.1059701492537313,1505.0,2.246268656716418,33.61,-117.85,B,1
2.6914,52.0,4.846575342465753,1.0191780821917809,849.0,2.326027397260274,37.86,,B,1
2.5902,17.0,4.307913669064749,1.1971223021582733,1571.0,2.260431654676259,34.68,-118.16,A,0
3.0426,9.0,4.548,1.1536,3773.0,3.0184,33.13,-117.09,B,0
3.625,31.0,5.757009345794392,1.2242990654205608,185.0,1.7289719626168225,37.3,-121.91,A,1
2.7153,35.0,3.45928338762215,0.993485342019544,1026.0,3.3420195439739415,34.0,-118.41,A,1
2.9292,33.0,4.066666666666666,1.1148936170212767,1774.0,2.5163120567375885,33.89,-118.14,C,1
1.975,52.0,2.8,0.7,193.0,4.825,36.73,-119.79,B,0
3.6974,10.0,4.348530901722391,1.089159067882472,2719.0,2.7548125633232017,34.18,-118.29,B,1
2.788,42.0,3.6946902654867255,0.9601769911504425,1997.0,4.418141592920354,34.04,-118.18,C,0
